epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,2027.11,0.98936,1.10736,1.06193,0.7549,0.72495,0.76896,0.56663,1.06084,1.23132,1.02994,0.000187092,0.000187092,0.000187092
86,2049.19,0.8995,1.05666,1.01547,0.72437,0.77357,0.76285,0.55732,1.0295,1.24175,1.03596,0.000176094,0.000176094,0.000176094
87,2072.69,1.03316,1.15539,1.05161,0.80588,0.70381,0.77114,0.55123,1.0583,1.28278,1.06273,0.000165095,0.000165095,0.000165095
88,2095.31,0.96092,1.10526,1.02308,0.77475,0.74335,0.76971,0.54926,1.06064,1.31744,1.07417,0.000154096,0.000154096,0.000154096
89,2117.56,0.95298,1.06653,1.02745,0.7904,0.74166,0.77973,0.55609,1.06615,1.27644,1.06482,0.000143097,0.000143097,0.000143097
90,2140.48,1.002,1.11279,1.03626,0.76077,0.75724,0.77579,0.55863,1.05602,1.21513,1.03725,0.000132098,0.000132098,0.000132098
91,2162.27,0.82195,0.95663,0.94034,0.74101,0.77557,0.77992,0.56298,1.03534,1.21429,1.00869,0.000121099,0.000121099,0.000121099
92,2183.83,0.83158,0.94097,0.94228,0.82013,0.69463,0.77127,0.56302,1.03183,1.18773,1.01242,0.0001101,0.0001101,0.0001101
93,2206.51,0.87008,0.93296,0.94835,0.7889,0.70532,0.76693,0.55367,1.03901,1.20293,1.02149,9.91012e-05,9.91012e-05,9.91012e-05
94,2228.29,0.78521,0.89623,0.94208,0.73375,0.78132,0.80105,0.54595,1.04871,1.20369,1.03418,8.81023e-05,8.81023e-05,8.81023e-05
95,2250.16,0.82382,0.89495,0.93343,0.78528,0.73416,0.79828,0.54312,1.04644,1.19457,1.0356,7.71034e-05,7.71034e-05,7.71034e-05
96,2271.98,0.80773,0.86857,0.94206,0.71596,0.77587,0.78892,0.54777,1.04063,1.17954,1.03194,6.61045e-05,6.61045e-05,6.61045e-05
97,2293.47,0.78483,0.83746,0.9303,0.74218,0.72241,0.78304,0.54681,1.03783,1.17674,1.03549,5.51056e-05,5.51056e-05,5.51056e-05
98,2315.25,0.8022,0.87864,0.93678,0.70225,0.73768,0.76536,0.54633,1.02874,1.1748,1.02706,4.41067e-05,4.41067e-05,4.41067e-05
99,2336.89,0.78019,0.85331,0.94051,0.70401,0.73775,0.76816,0.54509,1.028,1.16023,1.03021,3.31078e-05,3.31078e-05,3.31078e-05
100,2358.94,0.79855,0.89223,0.94686,0.70376,0.76244,0.75857,0.54505,1.02174,1.15214,1.02242,2.21089e-05,2.21089e-05,2.21089e-05
