epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,921.117,0.67906,0.86115,1.01392,0.95473,0.8214,0.88865,0.67113,0.77836,0.95795,0.99687,0.000283085,0.000283085,0.000283085
83,932.234,0.82438,1.03523,1.08254,0.88588,0.82216,0.88816,0.67464,0.77787,0.95727,0.99473,0.000268938,0.000268938,0.000268938
84,943.649,0.79517,0.95974,1.05959,0.92796,0.7965,0.89432,0.66682,0.80159,0.96025,1.01029,0.000254791,0.000254791,0.000254791
85,954.905,0.76073,0.90025,1.05189,0.94545,0.79115,0.87856,0.65322,0.80351,0.96491,1.01309,0.000240644,0.000240644,0.000240644
86,965.981,0.92087,1.09019,1.14784,0.94369,0.81383,0.8844,0.65026,0.79936,0.94295,1.01928,0.000226497,0.000226497,0.000226497
87,977.063,0.72072,0.90466,1.05996,0.92978,0.82841,0.88701,0.65908,0.79388,0.91265,1.01609,0.000212349,0.000212349,0.000212349
88,988.153,0.77696,1.00624,1.08884,0.89413,0.83151,0.8923,0.668,0.79036,0.87358,1.01262,0.000198202,0.000198202,0.000198202
89,999.213,0.72602,0.82009,1.02838,0.91097,0.85333,0.89888,0.67898,0.78282,0.85788,1.00505,0.000184055,0.000184055,0.000184055
90,1010.32,0.83207,0.93344,1.0823,0.91303,0.85573,0.89679,0.68108,0.76579,0.8278,0.99446,0.000169908,0.000169908,0.000169908
91,1021.13,0.60219,0.86186,0.99872,0.90653,0.86026,0.89301,0.68265,0.7649,0.81369,0.98475,0.000155761,0.000155761,0.000155761
92,1031.85,0.54548,0.80674,0.94641,0.91465,0.80927,0.88403,0.67707,0.76267,0.82074,0.97713,0.000141614,0.000141614,0.000141614
93,1042.55,0.52451,0.74575,0.90434,0.89353,0.83326,0.88337,0.67275,0.76511,0.83487,0.97439,0.000127467,0.000127467,0.000127467
94,1053.19,0.56002,0.75295,0.98135,0.95571,0.81623,0.8779,0.66084,0.77316,0.87977,0.97633,0.00011332,0.00011332,0.00011332
95,1063.95,0.54558,0.75254,0.91928,0.91573,0.80817,0.86428,0.65055,0.78996,0.93682,0.987,9.91726e-05,9.91726e-05,9.91726e-05
96,1074.68,0.55231,0.78363,0.93662,0.93765,0.79626,0.8626,0.65339,0.78238,0.97016,0.98859,8.50255e-05,8.50255e-05,8.50255e-05
97,1085.3,0.53526,0.71911,0.89925,0.93553,0.79623,0.86245,0.65171,0.77488,0.96021,0.987,7.08784e-05,7.08784e-05,7.08784e-05
98,1096,0.56652,0.70032,0.94196,0.88983,0.80719,0.85552,0.64791,0.7657,0.94161,0.9889,5.67313e-05,5.67313e-05,5.67313e-05
99,1106.69,0.53211,0.71986,0.95608,0.92741,0.81746,0.86034,0.65097,0.76051,0.92087,0.9884,4.25842e-05,4.25842e-05,4.25842e-05
100,1117.38,0.52756,0.71691,0.92986,0.92483,0.81713,0.86204,0.65369,0.75539,0.91105,0.98774,2.84371e-05,2.84371e-05,2.84371e-05
